DepartmentGroupCode,DepartmentCode,DepartmentDescription,DepartmentWeightage,SubDepartmentCode,SubDepartmentDescription,SubDepartmentWeightage
NON ACADEMIC,HR,Human Resources and Development,20,TA,Talent Acquisition,20
NON ACADEMIC,HR,Human Resources and Development,20,HS,HR Services,20
NON ACADEMIC,HR,Human Resources and Development,20,HS,HR Services,20
NON ACADEMIC,HR,Human Resources and Development,20,HS,HR Services,20
NON ACADEMIC,HR,Human Resources and Development,20,HS,HR Services,20
NON ACADEMIC,HR,Human Resources and Development,20,FA,Function Analytics,20
NON ACADEMIC,HR,Human Resources and Development,20,LD,Learning and Development,20
NON ACADEMIC,HR,Human Resources and Development,20,PC,Payroll and Compliance,20
NON ACADEMIC,HR,Human Resources and Development,20,TM,Talent Management,20
NON ACADEMIC,HR,Human Resources and Development,20,HP,HR Operation,20
